id,text,topic,time_of_day,date,is_priority,expected_query
88,"O usuário produz podcast sobre história da tecnologia","hobbies","evening","2024-01-10",1,"Sobre qual tema o usuário produz conteúdo?"
89,"O usuário tem um sistema de compostagem caseira","meio_ambiente","afternoon","2024-01-11",0,"Quais práticas ecológicas o usuário adota?"
90,"O usuário faz análise detalhada de todos seus gastos mensais","finanças","morning","2024-01-12",1,"Como o usuário controla seus gastos?"
91,"O usuário tem um clube de investimentos com 10 amigos","finanças","evening","2024-01-13",0,"Quais atividades financeiras em grupo o usuário pratica?"
92,"O usuário só usa software de código aberto há 7 anos","tecnologia","afternoon","2024-01-14",1,"Quais são os princípios tecnológicos do usuário?"
93,"O usuário tem um projeto de digitalizar livros raros","social","morning","2024-01-15",0,"Quais projetos sociais o usuário desenvolve?"
94,"O usuário faz caminhada diária de 10km há 3 anos","saúde","evening","2024-01-16",1,"Quais hábitos de exercício o usuário mantém?"
95,"O usuário tem um sistema de irrigação automatizado em sua horta","tecnologia","afternoon","2024-01-17",0,"Quais automações caseiras o usuário criou?"
96,"O usuário mantém correspondência regular com 5 amigos no exterior","social","morning","2024-01-18",1,"Como o usuário mantém amizades à distância?"
97,"O usuário tem um plano de ler toda a obra de Shakespeare em 2 anos","leitura","evening","2024-01-19",0,"Quais metas culturais o usuário estabeleceu?"
98,"O usuário só assiste filmes em versão original desde 2015","entretenimento","afternoon","2024-01-20",1,"Quais são os hábitos culturais do usuário?"
99,"O usuário tem um sistema de organização pessoal baseado no método GTD","organização","morning","2024-01-21",0,"Qual sistema de produtividade o usuário usa?"
100,"O usuário documenta fotograficamente todas as refeições desde 2020","alimentação","evening","2024-01-22",1,"Quais hábitos incomuns de registro o usuário tem?"
